course_id,title,description,duration,modules,created_at,tag,imageUrl
C01,User Research and Testing Methods,"Couple large affect senior. Her include school bit skin impact. Find natural for measure child push shake.
Of phone fish worker again perform. Pick test research continue sing. Size structure so.",3,5,2024-01-31 11:15:38,Software Testing,https://picsum.photos/650/481
C02,Responsive Web Design Principles,Lead short question word company. Six relationship full today on nearly Congress actually. Sea east hotel campaign peace fire measure.,3,5,2024-02-06 13:09:58,Cybersecurity,https://picsum.photos/722/59
C03,Full-Stack Web Development,"Senior public on anything red. Congress where machine off. Name color next.
Safe hit federal art rise. Check quality thus. Board police stand energy west. Fight natural story class matter.",1,5,2024-07-25 00:56:21,Mobile Development,https://dummyimage.com/957x997
C04,Introduction to Artificial Intelligence,Political young analysis building foot with must. Hospital house often agent watch possible important town. Production animal anything loss hard adult tree.,1,5,2024-09-08 14:59:41,Web Development,https://picsum.photos/133/646
C05,Cloud Data Warehousing Solutions,"Least support after ever. Poor score same relate design. Understand employee forward skin.
Factor relationship wind. Where while student win high art.",3,5,2024-02-13 10:16:31,Cloud Computing,https://dummyimage.com/800x857
C06,Continuous Integration and Continuous Deployment (CI/CD),Trip arm past do instead section. Current true leg test bank hour down. Manager woman available film.,10,5,2024-03-29 04:21:44,DevOps,https://dummyimage.com/361x885
C07,Deep Learning with TensorFlow,"From air seven. Institution suggest will anyone only assume.
Control discuss firm life benefit number. Nearly security international left. Environmental care defense determine national.",3,5,2024-03-30 16:03:35,Data Science,https://picsum.photos/290/74
C08,Automation Testing with Selenium,Say whether Mr former woman itself protect. Product ability suffer speech. Option different month.,9,5,2024-03-04 03:08:43,Data Engineering,https://dummyimage.com/860x422
C09,Cybersecurity Fundamentals,"Film enter foot. Oil toward radio only newspaper.
Girl success teacher. Parent market reflect. Contain stock new rock long.",6,5,2024-03-24 07:47:12,Prototyping,https://placekitten.com/238/146
C10,Machine Learning Fundamentals,"Stay walk interview increase sea present.
Paper successful heavy dinner maintain message produce cup. Quite probably chair job itself project.",9,5,2024-03-01 03:14:31,User Research,https://picsum.photos/127/154
C11,iOS App Development with Swift,"Enough painting to various staff poor. Treatment specific population likely do.
Yard face laugh pass present role make wish. Raise this bed thing cost lose. Suddenly free argue type.",10,5,2024-08-31 01:58:40,UI/UX Design,https://dummyimage.com/212x0
C12,Prototyping with Figma,Southern buy feel wall executive stay discuss. Around build item stand again. Heart add half major.,8,5,2024-03-11 20:05:45,Ethical Hacking,https://dummyimage.com/546x801
C13,Data Pipeline Development,"Rest break foreign improve. Stand stop leg each. It report special defense hotel begin.
Drive mouth find husband for per also cold.",5,5,2024-07-14 04:45:57,Automation Testing,https://dummyimage.com/592x323
C14,Network Security and Firewalls,"Record human hit face attention. Those certainly summer anyone maintain field. Against mind customer meeting clear money owner four.
Republican region matter learn old what. Sell art top already.",4,5,2024-02-04 08:09:37,Generative AI,https://placekitten.com/128/969
C15,Ethical Hacking Techniques,Serve state glass kind do plant open. International bring spend teach top from candidate. Call rate join relate produce.,9,5,2024-02-12 09:22:40,Machine Learning,https://picsum.photos/736/758
